SMA,EWM
1.9603e-05,1.961363636363636e-05
1.961e-05,1.9620363636363637e-05
1.9614e-05,1.9623999999999997e-05
1.9619e-05,1.9626909090909093e-05
1.9622e-05,1.962709090909091e-05
1.9625e-05,1.9626727272727272e-05
1.9628000000000002e-05,1.9629454545454544e-05
1.9631999999999998e-05,1.9633454545454542e-05
1.9634e-05,1.9636727272727274e-05
1.9635999999999996e-05,1.9637818181818176e-05
1.9636e-05,1.9638545454545454e-05
1.9636999999999995e-05,1.9641090909090908e-05
1.9639e-05,1.9643454545454547e-05
1.964e-05,1.9643636363636365e-05
1.9642e-05,1.964363636363636e-05
1.9645e-05,1.964509090909091e-05
1.9647e-05,1.964781818181818e-05
1.9647e-05,1.9648363636363638e-05
1.9646999999999997e-05,1.964890909090909e-05
1.9647999999999996e-05,1.9649454545454544e-05
1.9651e-05,1.9653454545454546e-05
1.9653000000000003e-05,1.965690909090909e-05
1.9657e-05,1.9663636363636365e-05
1.9662e-05,1.9669636363636364e-05
1.9666e-05,1.9672909090909092e-05
1.9669e-05,1.9675454545454546e-05
1.9669e-05,1.9673818181818184e-05
1.967e-05,1.967218181818182e-05
1.9671000000000002e-05,1.9670363636363635e-05
1.9672000000000004e-05,1.966836363636364e-05
1.9673000000000003e-05,1.9669818181818185e-05
1.9673e-05,1.966927272727273e-05
1.967e-05,1.9666909090909093e-05
1.9667000000000003e-05,1.966509090909091e-05
1.9665000000000002e-05,1.966381818181818e-05
1.9663000000000005e-05,1.966290909090909e-05
1.9664000000000003e-05,1.9664181818181818e-05
1.9666000000000004e-05,1.9667090909090914e-05
1.9668000000000002e-05,1.9669636363636368e-05
1.9669e-05,1.9670000000000003e-05
1.9668000000000002e-05,1.9670181818181817e-05
1.9668000000000002e-05,1.9670545454545456e-05
1.9667e-05,1.9667272727272728e-05
1.9665999999999998e-05,1.9664181818181818e-05
1.9666e-05,1.9663090909090912e-05
1.9667000000000003e-05,1.966381818181818e-05
1.9665000000000002e-05,1.9660727272727276e-05
1.9661999999999996e-05,1.9658e-05
1.9658999999999996e-05,1.9655818181818182e-05
1.9655999999999996e-05,1.9652363636363636e-05
1.9653e-05,1.9649454545454544e-05
1.9641e-05,1.963072727272727e-05
1.9631e-05,1.961418181818182e-05
1.9621e-05,1.9599454545454546e-05
1.9617999999999998e-05,1.9601090909090905e-05
1.9614e-05,1.9603272727272727e-05
1.9611999999999998e-05,1.960618181818182e-05
1.961e-05,1.9609454545454544e-05
1.9608e-05,1.961309090909091e-05
1.9605000000000003e-05,1.9613454545454543e-05
1.9602000000000003e-05,1.9614363636363638e-05
1.9607e-05,1.9614000000000002e-05
1.9611999999999998e-05,1.9612727272727272e-05
1.9616999999999995e-05,1.9610545454545453e-05
1.9614e-05,1.9607454545454543e-05
1.9612e-05,1.9606727272727276e-05
1.9610000000000004e-05,1.9606363636363637e-05
1.9605999999999998e-05,1.9602727272727277e-05
1.9598e-05,1.9592545454545454e-05
1.9592000000000005e-05,1.9583818181818183e-05
1.959e-05,1.9583454545454545e-05
1.9588e-05,1.958163636363636e-05
1.9586000000000002e-05,1.9580181818181817e-05
1.9582e-05,1.9575454545454544e-05
1.9578e-05,1.9571454545454545e-05
1.9574000000000003e-05,1.957e-05
1.9568e-05,1.9565636363636363e-05
1.9567e-05,1.9567818181818182e-05
1.9567e-05,1.9564727272727268e-05
1.9567e-05,1.956163636363636e-05
1.9565e-05,1.956218181818182e-05
1.9562000000000003e-05,1.9559454545454546e-05
1.9561000000000005e-05,1.9560909090909094e-05
1.9560000000000002e-05,1.955890909090909e-05
1.9560000000000002e-05,1.955890909090909e-05
1.9559000000000004e-05,1.955890909090909e-05
1.9550000000000004e-05,1.954090909090909e-05
1.9539000000000004e-05,1.9526363636363638e-05
1.9532000000000002e-05,1.9515636363636362e-05
1.9525e-05,1.950618181818182e-05
1.9518e-05,1.9501636363636365e-05
1.9512000000000002e-05,1.9496545454545454e-05
1.9506e-05,1.949618181818182e-05
1.9502e-05,1.9496909090909096e-05
1.9495e-05,1.9494727272727274e-05
1.9488999999999996e-05,1.9495636363636362e-05
1.9486999999999995e-05,1.9486727272727273e-05
1.9484e-05,1.947818181818182e-05
1.9478999999999998e-05,1.9468363636363636e-05
1.9474e-05,1.9459454545454544e-05
1.9467e-05,1.9451454545454543e-05
1.9461000000000002e-05,1.9444727272727266e-05
1.9452999999999998e-05,1.9439090909090905e-05
1.9444999999999998e-05,1.943490909090909e-05
1.9439999999999997e-05,1.9433999999999997e-05
1.9433999999999997e-05,1.9434e-05
1.9437e-05,1.9440545454545453e-05
1.9439e-05,1.9444727272727276e-05
1.9441e-05,1.944672727272727e-05
1.9441999999999998e-05,1.9446545454545456e-05
1.9445e-05,1.944981818181818e-05
1.9448e-05,1.9452545454545456e-05
1.9451e-05,1.9454727272727274e-05
1.9454e-05,1.9456363636363637e-05
1.9458000000000002e-05,1.946109090909091e-05
1.9462e-05,1.9465090909090908e-05
1.9464999999999997e-05,1.9472000000000003e-05
1.9468999999999996e-05,1.9478363636363638e-05
1.9472e-05,1.9480363636363635e-05
1.9475999999999998e-05,1.948181818181818e-05
1.9476999999999997e-05,1.948072727272727e-05
1.9478e-05,1.9479454545454543e-05
1.9476999999999997e-05,1.9474363636363636e-05
1.9475999999999998e-05,1.946945454545455e-05
1.9473e-05,1.9464727272727273e-05
1.947e-05,1.9460545454545453e-05
1.9462999999999996e-05,1.9453272727272723e-05
1.9455999999999998e-05,1.9447272727272723e-05
1.9450999999999997e-05,1.944254545454545e-05
1.9445999999999996e-05,1.9438727272727266e-05
1.9444e-05,1.9439454545454544e-05
1.9441e-05,1.9438727272727266e-05
1.9438999999999995e-05,1.9436727272727272e-05
1.9436999999999997e-05,1.9435090909090907e-05
1.9435e-05,1.943381818181818e-05
1.9433e-05,1.9432909090909088e-05
1.9433e-05,1.9432363636363635e-05
1.9433e-05,1.943181818181818e-05
1.9433e-05,1.9431272727272722e-05
1.9433e-05,1.943072727272727e-05
1.9432e-05,1.9431999999999996e-05
1.9431999999999996e-05,1.9433454545454544e-05
1.9433e-05,1.943490909090909e-05
1.9433999999999997e-05,1.9436181818181816e-05
1.9437e-05,1.9440909090909092e-05
1.944e-05,1.9445090909090908e-05
1.9445e-05,1.9452363636363638e-05
1.9449e-05,1.945690909090909e-05
1.9455e-05,1.9464363636363637e-05
1.9461e-05,1.9470727272727272e-05
1.9467e-05,1.947781818181818e-05
1.9472e-05,1.9481999999999997e-05
1.9478e-05,1.948709090909091e-05
1.9484e-05,1.9491090909090914e-05
1.9487999999999997e-05,1.9494000000000003e-05
1.9492000000000002e-05,1.949618181818182e-05
1.9495000000000002e-05,1.9499454545454547e-05
1.9494000000000003e-05,1.9493090909090912e-05
1.9489e-05,1.9483272727272724e-05
1.9484e-05,1.9474363636363636e-05
1.948e-05,1.947e-05
1.9477e-05,1.9466363636363642e-05
1.9473e-05,1.946327272727273e-05
1.9469000000000003e-05,1.9460909090909092e-05
1.9467e-05,1.9462909090909093e-05
1.9464999999999997e-05,1.9465272727272726e-05
1.9463e-05,1.946981818181818e-05
1.9466e-05,1.9474727272727274e-05
1.9472e-05,1.948090909090909e-05
1.9478e-05,1.9486000000000003e-05
1.9480000000000003e-05,1.9486363636363635e-05
1.9483e-05,1.9488181818181818e-05
1.9485e-05,1.9487636363636365e-05
1.9487999999999997e-05,1.9488545454545453e-05
1.9485e-05,1.9481636363636366e-05
1.9483e-05,1.947709090909091e-05
1.9482e-05,1.9476545454545454e-05
1.9481000000000002e-05,1.947618181818182e-05
1.9477e-05,1.9472363636363638e-05
1.9473e-05,1.946927272727273e-05
1.9472e-05,1.946872727272727e-05
1.947e-05,1.9468363636363636e-05
1.9471e-05,1.9472e-05
1.9469999999999998e-05,1.9473636363636365e-05
1.9473e-05,1.9475454545454548e-05
1.9475e-05,1.9476727272727275e-05
1.9472e-05,1.9472181818181817e-05
1.947e-05,1.947e-05
1.9472e-05,1.947181818181818e-05
1.9473e-05,1.9471454545454543e-05
1.9472e-05,1.9469090909090913e-05
1.947e-05,1.9465090909090908e-05
1.9465e-05,1.945963636363636e-05
1.9460999999999995e-05,1.9455090909090906e-05
1.9458999999999998e-05,1.9454909090909092e-05
1.9455999999999998e-05,1.9453272727272726e-05
1.9455000000000003e-05,1.9450363636363637e-05
1.9452999999999998e-05,1.9447636363636362e-05
1.9449e-05,1.9445272727272726e-05
1.9448e-05,1.944727272727273e-05
1.9448e-05,1.944945454545455e-05
1.9448e-05,1.944981818181818e-05
1.9449000000000003e-05,1.9450181818181816e-05
1.9448e-05,1.944672727272727e-05
1.9444999999999998e-05,1.9443454545454542e-05
1.9443e-05,1.944072727272727e-05
1.9441999999999998e-05,1.9438363636363635e-05
1.9441e-05,1.9436181818181812e-05
1.9439999999999997e-05,1.943418181818181e-05
1.9436999999999997e-05,1.9432363636363635e-05
1.9435e-05,1.9432909090909088e-05
1.9433e-05,1.9431999999999996e-05
1.9432e-05,1.9433272727272727e-05
1.9432e-05,1.9432909090909088e-05
1.9435e-05,1.9438000000000003e-05
1.9437000000000004e-05,1.944072727272727e-05
1.9441e-05,1.9446727272727277e-05
1.9445e-05,1.9451999999999996e-05
1.9447000000000002e-05,1.9452909090909088e-05
1.9449000000000003e-05,1.9453454545454547e-05
1.9450000000000002e-05,1.9453636363636362e-05
1.9452e-05,1.9453636363636362e-05
1.9450999999999997e-05,1.944963636363636e-05
1.9450999999999997e-05,1.944581818181818e-05
1.9447e-05,1.9440181818181818e-05
1.9444999999999998e-05,1.9437090909090908e-05
1.9439999999999997e-05,1.9432545454545456e-05
1.9435e-05,1.9428909090909093e-05
1.9431e-05,1.9424363636363638e-05
1.9427e-05,1.9420545454545457e-05
1.9423e-05,1.941745454545455e-05
1.9419e-05,1.941509090909091e-05
1.9416e-05,1.9411636363636364e-05
1.9413e-05,1.9408727272727272e-05
1.9413000000000002e-05,1.941e-05
1.9411e-05,1.9409454545454546e-05
1.9412e-05,1.9412909090909088e-05
1.9413e-05,1.9416181818181816e-05
1.9414999999999996e-05,1.9419272727272723e-05
1.9416999999999997e-05,1.9421999999999995e-05
1.9417e-05,1.942072727272727e-05
1.9416000000000002e-05,1.941763636363636e-05
1.9416e-05,1.9414727272727268e-05
1.9416e-05,1.941181818181818e-05
1.9413999999999997e-05,1.940890909090909e-05
1.9412999999999992e-05,1.9406363636363636e-05
1.9411999999999996e-05,1.9407636363636363e-05
1.9411e-05,1.9409090909090907e-05
1.9409e-05,1.940890909090909e-05
1.9405999999999997e-05,1.9407272727272727e-05
1.9404999999999998e-05,1.9406181818181818e-05
1.9404999999999998e-05,1.9405272727272723e-05
1.9404999999999998e-05,1.9404363636363635e-05
1.9404999999999998e-05,1.940345454545454e-05
1.9404e-05,1.940072727272727e-05
1.9401999999999995e-05,1.9396363636363634e-05
1.9396999999999997e-05,1.9390545454545452e-05
1.9393e-05,1.9387454545454545e-05
1.9388999999999997e-05,1.9383272727272725e-05
1.9387e-05,1.9381636363636363e-05
1.9383999999999996e-05,1.9378545454545453e-05
1.9381e-05,1.9375999999999995e-05
1.9378e-05,1.9374e-05
1.9374e-05,1.9370727272727273e-05
1.9370999999999998e-05,1.936818181818182e-05
1.9369e-05,1.9366181818181818e-05
1.937e-05,1.936818181818182e-05
1.937e-05,1.9370000000000003e-05
1.9370999999999998e-05,1.9371818181818183e-05
1.937e-05,1.937163636363636e-05
1.9370999999999998e-05,1.9373454545454545e-05
1.9372e-05,1.9375090909090907e-05
1.9372e-05,1.937472727272727e-05
1.9373e-05,1.9374363636363637e-05
1.9376e-05,1.9377454545454547e-05
1.9379e-05,1.938e-05
1.938e-05,1.9382000000000002e-05
1.9381e-05,1.938381818181818e-05
1.9384e-05,1.9389090909090907e-05
1.9388e-05,1.9393818181818183e-05
1.9392e-05,1.9399636363636362e-05
1.9395e-05,1.940290909090909e-05
1.9401e-05,1.9409272727272728e-05
1.9406999999999996e-05,1.941454545454545e-05
1.941e-05,1.941690909090909e-05
1.9413e-05,1.9418727272727273e-05
1.9415e-05,1.9418181818181817e-05
1.9417e-05,1.9417272727272722e-05
1.9418000000000003e-05,1.9417818181818182e-05
