hours,high,low,average,open,close
19,3.77e-06,3.76e-06,3.768888888888889e-06,3.77e-06,3.77e-06
20,3.89e-06,3.77e-06,3.807272727272727e-06,3.79e-06,3.79e-06
21,3.77e-06,3.77e-06,3.77e-06,3.77e-06,3.77e-06
01,3.66e-06,3.53e-06,3.591e-06,3.61e-06,3.66e-06
03,3.65e-06,3.59e-06,3.6258333333333335e-06,3.59e-06,3.63e-06
04,3.67e-06,3.64e-06,3.6575e-06,3.64e-06,3.67e-06
05,3.64e-06,3.64e-06,3.64e-06,3.64e-06,3.64e-06
09,3.61e-06,3.61e-06,3.61e-06,3.61e-06,3.61e-06
12,3.71e-06,3.63e-06,3.6581818181818185e-06,3.63e-06,3.66e-06
13,3.63e-06,3.63e-06,3.63e-06,3.63e-06,3.63e-06
15,3.59e-06,3.56e-06,3.5799999999999996e-06,3.56e-06,3.59e-06
18,3.61e-06,3.58e-06,3.5979999999999997e-06,3.61e-06,3.58e-06
21,3.63e-06,3.57e-06,3.5950000000000007e-06,3.57e-06,3.58e-06
23,3.67e-06,3.56e-06,3.6353061224489797e-06,3.56e-06,3.61e-06
00,3.67e-06,3.63e-06,3.6499999999999998e-06,3.67e-06,3.63e-06
01,3.75e-06,3.71e-06,3.732727272727273e-06,3.71e-06,3.71e-06
02,3.74e-06,3.7000000000000006e-06,3.7050000000000005e-06,3.7000000000000006e-06,3.74e-06
03,3.77e-06,3.72e-06,3.7317777777777784e-06,3.73e-06,3.74e-06
04,3.74e-06,3.71e-06,3.7258064516129022e-06,3.73e-06,3.72e-06
10,3.67e-06,3.67e-06,3.67e-06,3.67e-06,3.67e-06
11,3.77e-06,3.72e-06,3.7499999999999997e-06,3.77e-06,3.72e-06
17,3.79e-06,3.78e-06,3.785e-06,3.79e-06,3.78e-06
18,3.83e-06,3.83e-06,3.83e-06,3.83e-06,3.83e-06
19,3.83e-06,3.83e-06,3.83e-06,3.83e-06,3.83e-06
20,3.81e-06,3.81e-06,3.8100000000000004e-06,3.81e-06,3.81e-06
23,3.82e-06,3.8e-06,3.81e-06,3.82e-06,3.8e-06
02,3.87e-06,3.87e-06,3.87e-06,3.87e-06,3.87e-06
15,3.84e-06,3.79e-06,3.8225e-06,3.79e-06,3.82e-06
16,3.75e-06,3.73e-06,3.7424999999999997e-06,3.73e-06,3.75e-06
18,3.83e-06,3.83e-06,3.83e-06,3.83e-06,3.83e-06
19,3.88e-06,3.88e-06,3.88e-06,3.88e-06,3.88e-06
21,3.86e-06,3.85e-06,3.855e-06,3.86e-06,3.85e-06
22,3.98e-06,3.91e-06,3.948888888888889e-06,3.91e-06,3.91e-06
23,3.91e-06,3.91e-06,3.91e-06,3.91e-06,3.91e-06
00,4.07e-06,3.99e-06,4.0250000000000004e-06,4.05e-06,3.99e-06
01,4.06e-06,4.06e-06,4.06e-06,4.06e-06,4.06e-06
03,4.06e-06,4.06e-06,4.06e-06,4.06e-06,4.06e-06
06,4.03e-06,4.03e-06,4.03e-06,4.03e-06,4.03e-06
08,3.94e-06,3.94e-06,3.94e-06,3.94e-06,3.94e-06
10,3.98e-06,3.98e-06,3.98e-06,3.98e-06,3.98e-06
12,3.96e-06,3.92e-06,3.9366666666666665e-06,3.93e-06,3.96e-06
15,4.11e-06,4.04e-06,4.086666666666667e-06,4.04e-06,4.11e-06
16,4.12e-06,4.06e-06,4.093333333333333e-06,4.12e-06,4.1e-06
18,4.04e-06,4.01e-06,4.01375e-06,4.01e-06,4.01e-06
