ID,MTS,AMOUNT,PRICE,fisher_transform,fft
264426501,1530549928199,148.0,1.954e-05,1.9540000002487047e-05,(6.930127661833742e-07-2.926777684277132e-07j)
264426432,1530549915000,125.0,1.954e-05,1.9540000002487047e-05,(1.5212267889173895e-06+1.5466237798984276e-06j)
264426245,1530549890245,-149.0,1.956e-05,1.956000000250233e-05,(1.1717591740527984e-06-6.8983072899597e-07j)
264426219,1530549883322,-205.0,1.955e-05,1.9550000002428163e-05,(2.2309375558383433e-06+6.236439169060069e-07j)
264426182,1530549866349,-167.0,1.956e-05,1.956000000250233e-05,(4.410997988418094e-07+1.914801107126028e-06j)
264426104,1530549852459,-182.0,1.956e-05,1.956000000250233e-05,(-3.77512456178768e-07-1.0247480353348948e-07j)
264426064,1530549833615,138.0,1.956e-05,1.956000000250233e-05,(2.2369891204009975e-06-4.768620787790235e-07j)
264426019,1530549817379,161.0,1.957e-05,1.9570000002487516e-05,(-9.087218030509817e-08+1.8497347774044005e-06j)
264425965,1530549799558,168.0,1.955e-05,1.9550000002428163e-05,(1.146570894658254e-06+1.0002071366033266e-06j)
264425901,1530549789599,-160.0,1.955e-05,1.9550000002428163e-05,(2.199913451262278e-06+2.973762924676786e-06j)
264425842,1530549766941,-161.0,1.956e-05,1.956000000250233e-05,(-2.7194581610331844e-07+1.638038398535941e-06j)
264425836,1530549763141,-209.0,1.956e-05,1.956000000250233e-05,(1.5063944710880315e-06+1.1795563529593512e-06j)
264425799,1530549741924,161.0,1.956e-05,1.956000000250233e-05,(4.1182073897455087e-07+1.4496628474640293e-06j)
264425783,1530549734865,151.0,1.956e-05,1.956000000250233e-05,(1.706768167959862e-06+6.838596370546502e-08j)
264425710,1530549712119,-162.0,1.958e-05,1.9580000002494738e-05,(5.581938451889049e-07+1.2426998294414938e-06j)
264425684,1530549699289,-166.0,1.958e-05,1.9580000002494738e-05,(3.5440839675442166e-07+1.3795332298243997e-07j)
264425622,1530549677181,125.0,1.958e-05,1.9580000002494738e-05,(-5.662715386774571e-07+1.9631259870476734e-06j)
264425584,1530549668072,-120.0,1.958e-05,1.9580000002494738e-05,(-1.024491629740477e-06+1.994363171286724e-06j)
264425502,1530549647476,208.0,1.959e-05,1.9590000002412977e-05,(4.0318325969834955e-07+1.4061119654245584e-06j)
264425474,1530549640427,-153.0,1.959e-05,1.9590000002412977e-05,(4.906498528359494e-07+2.8524179324616204e-07j)
264425419,1530549616245,-198.0,1.959e-05,1.9590000002412977e-05,(-4.4284337180725227e-07+2.4762823541426857e-07j)
264425399,1530549611420,192.0,1.959e-05,1.9590000002412977e-05,(-1.3508141021929632e-06+1.391175332425442e-06j)
264425280,1530549593605,-215.0,1.958e-05,1.9580000002494738e-05,(1.3664403296770621e-08+1.1940478620546303e-06j)
264425192,1530549577302,-206.0,1.958e-05,1.9580000002494738e-05,(-1.4231907639070775e-06+8.3846856864323e-07j)
264425133,1530549556310,-159.0,1.957e-05,1.9570000002487516e-05,(-5.739737177708255e-07+4.336884241611305e-08j)
264425128,1530549552304,224.0,1.957e-05,1.9570000002487516e-05,(-7.220493048799088e-07+2.928095280028204e-06j)
264425078,1530549532668,202.0,1.957e-05,1.9570000002487516e-05,(-1.1389659002110418e-07+3.391248299221624e-07j)
264425042,1530549524031,-236.0,1.957e-05,1.9570000002487516e-05,(-6.527348558269309e-07+6.731666210240039e-07j)
264424983,1530549502956,202.0,1.956e-05,1.956000000250233e-05,(-6.682698791117191e-07+2.298134078488173e-07j)
264424930,1530549492670,271.0,1.956e-05,1.956000000250233e-05,(-1.0688171688579226e-08+7.686839891830306e-07j)
264424825,1530549467066,152.0,1.957e-05,1.9570000002487516e-05,(-1.7982912311229524e-06+1.971329507010661e-06j)
264424800,1530549461923,153.0,1.957e-05,1.9570000002487516e-05,(1.5237775846188597e-07-8.392883139455516e-07j)
264424701,1530549443458,-161.0,1.959e-05,1.9590000002412977e-05,(-4.84763792119552e-07+9.482250259841799e-07j)
264424629,1530549434940,-117.0,1.958e-05,1.9580000002494738e-05,(-7.144113489806327e-07+1.8211798633126436e-07j)
264424387,1530549409370,170.0,1.959e-05,1.9590000002412977e-05,(-6.304110594386227e-07+7.490315833720648e-07j)
264424362,1530549405421,208.0,1.959e-05,1.9590000002412977e-05,(-1.0082758604662997e-06+2.8972678272111013e-07j)
264424252,1530549377066,-188.0,1.961e-05,1.9610000002537603e-05,(-4.7135170454240134e-07+8.672106972719481e-07j)
264424221,1530549372382,-212.0,1.961e-05,1.9610000002537603e-05,(-1.3019633186088326e-06+5.514319560882833e-07j)
264424045,1530549348684,-192.0,1.963e-05,1.9630000002528332e-05,(-6.586556476093556e-07+6.171777922456163e-08j)
264423990,1530549342776,-217.0,1.962e-05,1.962000000252195e-05,(-1.280956596989077e-06-4.961970035042049e-07j)
264423916,1530549329309,205.0,1.964e-05,1.9640000002556754e-05,(-3.2020312273753553e-07+3.1966673154016514e-07j)
264423774,1530549310704,175.0,1.964e-05,1.9640000002556754e-05,(-1.1066166522582953e-06+4.005516279088465e-07j)
264423687,1530549291069,-198.0,1.963e-05,1.9630000002528332e-05,(1.3291820870010587e-08+1.6400298616931394e-07j)
264423625,1530549278108,189.0,1.963e-05,1.9630000002528332e-05,(-2.7633821213826206e-07+3.691921017895307e-09j)
264423582,1530549268165,185.0,1.962e-05,1.962000000252195e-05,(-6.175749593162809e-07-1.720322177633684e-06j)
264423535,1530549253931,194.0,1.962e-05,1.962000000252195e-05,(-9.656639318967216e-07-5.02091802491513e-07j)
264423435,1530549234444,133.0,1.964e-05,1.9640000002556754e-05,(-1.8057911301874087e-06-6.187468648044214e-07j)
264423346,1530549212971,-0.30710863,1.965e-05,1.9650000002607208e-05,(-1.0374515324505008e-07+4.774545802987417e-07j)
264423344,1530549212870,-138.69289137,1.965e-05,1.9650000002607208e-05,(1.6234608059459573e-07-9.244344317849039e-07j)
264423313,1530549204883,-129.0,1.964e-05,1.9640000002556754e-05,(1.1994234489185848e-06+1.7227915302067102e-07j)
264423248,1530549191997,162.0,1.964e-05,1.9640000002556754e-05,(-3.8137462157288376e-07-1.011747340787137e-06j)
264423094,1530549173282,103.0,1.965e-05,1.9650000002607208e-05,(1.0920984859781716e-06-3.9711552731169375e-07j)
264423048,1530549162700,103.0,1.965e-05,1.9650000002607208e-05,(-1.7743883164403899e-06+3.3877194372496424e-07j)
264422885,1530549137433,103.0,1.964e-05,1.9640000002556754e-05,(-8.038554844215356e-07-1.6767435198686433e-06j)
264422853,1530549130437,133.0,1.964e-05,1.9640000002556754e-05,(9.617140679335586e-07+4.720006075055575e-08j)
264422730,1530549108748,186.0,1.965e-05,1.9650000002607208e-05,(-6.553360390548361e-07-7.680967474898715e-07j)
264422723,1530549106001,264.0,1.966e-05,1.9660000002457664e-05,(-1.3144467848091976e-07+6.372247105346992e-07j)
264422559,1530549083611,-233.0,1.965e-05,1.9650000002607208e-05,(-1.0268417464426487e-06-2.157251581087822e-06j)
264422470,1530549070680,-82.81934606,1.965e-05,1.9650000002607208e-05,(4.440577322458824e-07+1.2277010551315465e-07j)
264422468,1530549070649,-182.18065394,1.965e-05,1.9650000002607208e-05,(-1.3508792431952157e-06-1.5884447489995526e-07j)
264422380,1530549049820,102.0,1.967e-05,1.967000000255219e-05,(9.477859803125517e-07-1.752387855176376e-06j)
