SMA,EWM
3.7369999999999995e-06,3.7354545454545452e-06
3.7369999999999995e-06,3.7341818181818187e-06
3.7360000000000003e-06,3.734727272727273e-06
3.74e-06,3.7409090909090906e-06
3.739e-06,3.739090909090909e-06
3.7369999999999995e-06,3.737454545454545e-06
3.7339999999999997e-06,3.7343636363636367e-06
3.7339999999999997e-06,3.733636363636363e-06
3.7339999999999997e-06,3.732909090909091e-06
3.7339999999999997e-06,3.7321818181818177e-06
3.7339999999999997e-06,3.7314545454545453e-06
3.7339999999999997e-06,3.730727272727273e-06
3.7329999999999997e-06,3.7299999999999994e-06
3.7289999999999998e-06,3.729454545454545e-06
3.7289999999999998e-06,3.7296363636363633e-06
3.7289999999999998e-06,3.7298181818181814e-06
3.731e-06,3.7318181818181815e-06
3.7330000000000005e-06,3.735272727272727e-06
3.7330000000000005e-06,3.734727272727273e-06
3.7330000000000005e-06,3.7341818181818187e-06
3.7329999999999997e-06,3.733636363636363e-06
3.7330000000000005e-06,3.733090909090909e-06
3.7329999999999997e-06,3.7325454545454547e-06
3.7330000000000005e-06,3.7319999999999996e-06
3.7329999999999997e-06,3.7314545454545453e-06
3.7330000000000005e-06,3.730909090909091e-06
3.7319999999999996e-06,3.7303636363636364e-06
3.731e-06,3.7318181818181815e-06
3.731e-06,3.7316363636363634e-06
3.731e-06,3.7314545454545453e-06
3.732e-06,3.733090909090909e-06
3.732e-06,3.7327272727272728e-06
3.7329999999999997e-06,3.7341818181818187e-06
3.7339999999999997e-06,3.7354545454545452e-06
3.735e-06,3.7365454545454546e-06
3.735e-06,3.735636363636364e-06
3.735e-06,3.734727272727273e-06
3.7339999999999997e-06,3.7338181818181812e-06
3.7339999999999997e-06,3.733090909090909e-06
3.7339999999999997e-06,3.7323636363636366e-06
3.732e-06,3.7298181818181814e-06
3.731e-06,3.7276363636363636e-06
3.7289999999999998e-06,3.7256363636363634e-06
3.7269999999999992e-06,3.724e-06
3.725e-06,3.722727272727272e-06
3.7239999999999994e-06,3.7218181818181816e-06
3.7229999999999993e-06,3.7210909090909084e-06
3.723e-06,3.722363636363636e-06
3.723e-06,3.7236363636363637e-06
3.722e-06,3.723090909090909e-06
3.722e-06,3.722727272727272e-06
3.722e-06,3.722363636363636e-06
3.722e-06,3.7219999999999997e-06
3.722e-06,3.7216363636363635e-06
3.722e-06,3.7212727272727274e-06
3.722e-06,3.7209090909090904e-06
3.722e-06,3.720545454545454e-06
3.7209999999999996e-06,3.720181818181818e-06
3.7199999999999995e-06,3.7199999999999995e-06
3.7199999999999995e-06,3.7199999999999995e-06
3.7199999999999995e-06,3.7199999999999995e-06
3.722e-06,3.7236363636363637e-06
3.7240000000000003e-06,3.726909090909091e-06
3.725e-06,3.7279999999999997e-06
3.725e-06,3.7270909090909093e-06
3.726e-06,3.7279999999999997e-06
3.727e-06,3.728727272727273e-06
3.729e-06,3.731090909090909e-06
3.732e-06,3.734909090909091e-06
3.7350000000000007e-06,3.7381818181818185e-06
3.7370000000000004e-06,3.73909090909091e-06
3.7370000000000004e-06,3.739636363636364e-06
3.7370000000000004e-06,3.7401818181818183e-06
3.7380000000000005e-06,3.7407272727272725e-06
3.74e-06,3.74109090909091e-06
3.7410000000000003e-06,3.74109090909091e-06
3.7420000000000003e-06,3.740909090909092e-06
3.7420000000000003e-06,3.7405454545454544e-06
3.7410000000000003e-06,3.7401818181818183e-06
3.74e-06,3.74e-06
3.7360000000000003e-06,3.7327272727272728e-06
3.732e-06,3.726181818181818e-06
3.728e-06,3.7203636363636365e-06
3.7240000000000003e-06,3.7152727272727273e-06
3.7200000000000004e-06,3.710909090909091e-06
3.7160000000000005e-06,3.707272727272727e-06
3.712e-06,3.7043636363636366e-06
3.712e-06,3.709454545454546e-06
3.709e-06,3.7090909090909097e-06
3.7090000000000004e-06,3.714727272727273e-06
3.7130000000000007e-06,3.720363636363637e-06
3.7170000000000006e-06,3.7252727272727272e-06
3.7210000000000005e-06,3.729454545454545e-06
3.7250000000000003e-06,3.732909090909091e-06
3.7300000000000007e-06,3.7374545454545462e-06
3.7340000000000006e-06,3.739272727272728e-06
3.7380000000000005e-06,3.7403636363636364e-06
3.735e-06,3.7352727272727276e-06
3.735e-06,3.7307272727272735e-06
3.7279999999999997e-06,3.7189090909090906e-06
3.7169999999999997e-06,3.7010909090909086e-06
3.6989999999999997e-06,3.6725454545454544e-06
3.6830000000000006e-06,3.650909090909091e-06
3.672e-06,3.6412727272727273e-06
3.662e-06,3.637272727272727e-06
3.6530000000000004e-06,3.6350909090909088e-06
3.641e-06,3.6290909090909096e-06
3.6320000000000005e-06,3.6252727272727278e-06
3.625e-06,3.626727272727273e-06
3.6220000000000002e-06,3.6294545454545453e-06
3.621e-06,3.6290909090909096e-06
3.629e-06,3.6325454545454548e-06
3.637e-06,3.6381818181818182e-06
3.6400000000000003e-06,3.642363636363636e-06
3.6400000000000003e-06,3.644181818181818e-06
3.6379999999999993e-06,3.642363636363637e-06
3.637e-06,3.6372727272727274e-06
3.6379999999999993e-06,3.636e-06
3.637e-06,3.634545454545454e-06
3.6350000000000003e-06,3.631454545454546e-06
3.6319999999999997e-06,3.6232727272727268e-06
3.6269999999999997e-06,3.6156363636363636e-06
3.62e-06,3.608909090909091e-06
3.6169999999999994e-06,3.610727272727273e-06
3.6180000000000003e-06,3.618545454545454e-06
3.6210000000000006e-06,3.6261818181818178e-06
3.623e-06,3.627818181818182e-06
3.626e-06,3.6345454545454545e-06
3.629e-06,3.6407272727272726e-06
3.6310000000000005e-06,3.6427272727272728e-06
3.6349999999999995e-06,3.642545454545455e-06
3.6389999999999994e-06,3.6416363636363634e-06
3.645e-06,3.6436363636363636e-06
3.647e-06,3.6445454545454544e-06
3.646e-06,3.6450909090909087e-06
3.642e-06,3.640363636363637e-06
3.6400000000000003e-06,3.6345454545454554e-06
3.6390000000000002e-06,3.6363636363636366e-06
3.638e-06,3.6383636363636363e-06
3.6390000000000002e-06,3.6405454545454545e-06
3.641e-06,3.6425454545454543e-06
3.643e-06,3.6441818181818183e-06
3.643e-06,3.6454545454545457e-06
3.643e-06,3.6467272727272726e-06
3.645e-06,3.6516363636363638e-06
3.6499999999999994e-06,3.6561818181818183e-06
3.655e-06,3.658e-06
3.6529999999999996e-06,3.653454545454545e-06
3.6529999999999996e-06,3.6529090909090903e-06
3.6490000000000006e-06,3.645090909090909e-06
3.6410000000000004e-06,3.6307272727272727e-06
3.6329999999999998e-06,3.6178181818181823e-06
3.626e-06,3.6081818181818185e-06
3.6190000000000004e-06,3.5998181818181818e-06
3.6149999999999997e-06,3.6018181818181828e-06
3.611e-06,3.604545454545455e-06
3.608e-06,3.6080000000000004e-06
3.6060000000000003e-06,3.6083636363636366e-06
3.5980000000000005e-06,3.6018181818181823e-06
3.5950000000000007e-06,3.598545454545455e-06
3.5990000000000006e-06,3.6012727272727272e-06
3.603e-06,3.603272727272728e-06
3.6060000000000003e-06,3.604545454545455e-06
3.6060000000000003e-06,3.599818181818182e-06
3.6010000000000008e-06,3.5950909090909096e-06
3.5940000000000007e-06,3.587636363636364e-06
3.5890000000000003e-06,3.5850909090909092e-06
3.5860000000000005e-06,3.583454545454546e-06
3.588e-06,3.5841818181818184e-06
3.589e-06,3.584545454545455e-06
3.591e-06,3.592e-06
3.5929999999999997e-06,3.5990909090909094e-06
3.5949999999999995e-06,3.6058181818181814e-06
3.5999999999999994e-06,3.6121818181818184e-06
3.606e-06,3.619454545454545e-06
3.6139999999999996e-06,3.6256363636363635e-06
3.62e-06,3.630363636363636e-06
3.626e-06,3.634e-06
3.6329999999999998e-06,3.6401818181818184e-06
3.6400000000000003e-06,3.645090909090909e-06
3.643e-06,3.6487272727272724e-06
3.646e-06,3.651818181818182e-06
3.654e-06,3.6634545454545453e-06
3.662e-06,3.673636363636364e-06
3.664e-06,3.673272727272727e-06
3.6660000000000006e-06,3.6725454545454544e-06
3.6680000000000003e-06,3.6714545454545455e-06
3.6700000000000004e-06,3.67e-06
3.6700000000000004e-06,3.668181818181818e-06
3.6700000000000004e-06,3.6663636363636363e-06
3.6700000000000004e-06,3.6645454545454542e-06
3.6700000000000004e-06,3.6627272727272726e-06
3.6650000000000005e-06,3.6609090909090905e-06
3.66e-06,3.6599999999999997e-06
3.655e-06,3.650909090909091e-06
3.6529999999999996e-06,3.648181818181818e-06
3.6510000000000003e-06,3.6458181818181814e-06
3.6499999999999998e-06,3.6456363636363633e-06
3.6509999999999994e-06,3.6492727272727275e-06
3.6519999999999995e-06,3.6527272727272727e-06
3.645e-06,3.6414545454545458e-06
3.643e-06,3.640545454545454e-06
3.64e-06,3.638181818181819e-06
3.637e-06,3.636363636363636e-06
3.6389999999999994e-06,3.6350909090909096e-06
3.637e-06,3.631636363636364e-06
3.6340000000000003e-06,3.6267272727272724e-06
3.63e-06,3.6223636363636364e-06
3.624e-06,3.618727272727273e-06
3.6180000000000003e-06,3.6161818181818183e-06
3.621e-06,3.6165454545454544e-06
3.6190000000000004e-06,3.6163636363636364e-06
3.6189999999999996e-06,3.6183636363636365e-06
3.62e-06,3.622181818181818e-06
3.62e-06,3.6240000000000004e-06
3.623e-06,3.6294545454545453e-06
3.626e-06,3.6325454545454548e-06
3.628e-06,3.6332727272727275e-06
3.629e-06,3.631818181818182e-06
3.6309999999999996e-06,3.632e-06
3.6329999999999998e-06,3.6336363636363633e-06
3.6339999999999994e-06,3.6330909090909095e-06
3.6339999999999994e-06,3.6323636363636363e-06
3.6329999999999994e-06,3.631636363636364e-06
3.6309999999999996e-06,3.627454545454546e-06
3.627e-06,3.6236363636363634e-06
3.623e-06,3.618727272727273e-06
3.62e-06,3.6145454545454547e-06
3.6180000000000003e-06,3.610909090909091e-06
3.6149999999999997e-06,3.607636363636364e-06
3.6099999999999997e-06,3.6030909090909093e-06
3.606e-06,3.5994545454545456e-06
3.6019999999999996e-06,3.5965454545454546e-06
3.596e-06,3.5907272727272727e-06
3.592e-06,3.586e-06
3.588e-06,3.582e-06
3.5850000000000004e-06,3.5787272727272726e-06
3.5820000000000006e-06,3.5760000000000006e-06
3.5800000000000005e-06,3.5756363636363636e-06
3.5780000000000007e-06,3.575636363636363e-06
3.5770000000000007e-06,3.5760000000000006e-06
3.576e-06,3.576545454545455e-06
3.5720000000000003e-06,3.571818181818182e-06
3.57e-06,3.5678181818181815e-06
3.5660000000000002e-06,3.560545454545455e-06
3.562e-06,3.554000000000001e-06
3.558e-06,3.5481818181818182e-06
3.554e-06,3.54309090909091e-06
3.5490000000000002e-06,3.5387272727272726e-06
3.544e-06,3.5352727272727282e-06
3.5390000000000003e-06,3.532727272727273e-06
3.536e-06,3.5347272727272727e-06
3.545e-06,3.553636363636363e-06
3.554e-06,3.570909090909091e-06
3.5649999999999997e-06,3.5865454545454543e-06
3.5759999999999997e-06,3.600181818181818e-06
3.587e-06,3.6118181818181814e-06
3.5979999999999997e-06,3.6214545454545456e-06
3.609e-06,3.629090909090909e-06
3.62e-06,3.6347272727272726e-06
3.6309999999999996e-06,3.6383636363636363e-06
3.641e-06,3.641818181818182e-06
3.642e-06,3.643454545454546e-06
3.644e-06,3.6467272727272726e-06
3.657e-06,3.6696363636363634e-06
3.672e-06,3.6938181818181816e-06
3.6870000000000004e-06,3.7152727272727273e-06
3.7020000000000007e-06,3.7340000000000006e-06
3.7170000000000006e-06,3.7500000000000005e-06
3.73e-06,3.7596363636363634e-06
3.743e-06,3.766909090909091e-06
3.7550000000000005e-06,3.771818181818182e-06
3.779e-06,3.7963636363636363e-06
3.8009999999999997e-06,3.8147272727272726e-06
3.8089999999999994e-06,3.823636363636364e-06
3.8090000000000003e-06,3.820181818181818e-06
3.807e-06,3.8130909090909094e-06
3.8050000000000004e-06,3.8063636363636362e-06
3.803e-06,3.7999999999999996e-06
3.803e-06,3.794e-06
3.8019999999999998e-06,3.7861818181818175e-06
3.8019999999999998e-06,3.7803636363636364e-06
3.79e-06,3.7745454545454544e-06
3.779e-06,3.7709090909090907e-06
3.7710000000000004e-06,3.769272727272727e-06
3.777e-06,3.783636363636364e-06
3.781e-06,3.789636363636364e-06
3.7849999999999998e-06,3.794909090909091e-06
3.786e-06,3.794e-06
3.786e-06,3.791090909090909e-06
3.7840000000000005e-06,3.7827272727272727e-06
3.7789999999999997e-06,3.771090909090909e-06
3.774e-06,3.7603636363636357e-06
3.769e-06,3.7505454545454543e-06
3.764e-06,3.741636363636364e-06
3.7509999999999997e-06,3.733636363636363e-06
3.742e-06,3.7279999999999997e-06
3.735e-06,3.7276363636363636e-06
3.731e-06,3.728545454545455e-06
3.727e-06,3.7283636363636367e-06
3.722e-06,3.7216363636363635e-06
3.726e-06,3.7285454545454544e-06
3.723e-06,3.722e-06
3.7239999999999994e-06,3.723272727272727e-06
3.7209999999999996e-06,3.717090909090909e-06
3.718e-06,3.711454545454545e-06
3.715e-06,3.706363636363636e-06
3.71e-06,3.701818181818182e-06
3.705e-06,3.698181818181818e-06
3.701e-06,3.695454545454545e-06
3.701e-06,3.693454545454545e-06
3.694e-06,3.6914545454545453e-06
3.694e-06,3.690727272727272e-06
3.6899999999999994e-06,3.6899999999999994e-06
3.6939999999999997e-06,3.697272727272727e-06
3.6949999999999998e-06,3.698363636363636e-06
3.695e-06,3.6974545454545453e-06
3.6949999999999998e-06,3.6965454545454545e-06
3.6939999999999997e-06,3.6938181818181816e-06
3.6889999999999993e-06,3.6840000000000002e-06
3.684e-06,3.675090909090909e-06
3.6779999999999998e-06,3.665272727272728e-06
3.674e-06,3.6601818181818178e-06
3.6699999999999996e-06,3.6558181818181817e-06
3.662e-06,3.652181818181818e-06
3.6519999999999995e-06,3.640909090909091e-06
3.6450000000000007e-06,3.6350909090909096e-06
3.6380000000000006e-06,3.630545454545455e-06
3.6320000000000005e-06,3.627272727272728e-06
3.627e-06,3.619636363636364e-06
3.624e-06,3.6165454545454553e-06
3.626e-06,3.6212727272727275e-06
3.6220000000000002e-06,3.6183636363636365e-06
3.6180000000000003e-06,3.616181818181819e-06
3.6140000000000005e-06,3.614727272727273e-06
3.6150000000000005e-06,3.6140000000000005e-06
3.62e-06,3.6240000000000004e-06
3.624999999999999e-06,3.633090909090909e-06
3.6299999999999995e-06,3.6412727272727273e-06
3.6499999999999998e-06,3.670363636363636e-06
3.6680000000000003e-06,3.695818181818182e-06
3.684e-06,3.7216363636363635e-06
3.7029999999999995e-06,3.7427272727272727e-06
3.7219999999999993e-06,3.7603636363636366e-06
3.7409999999999994e-06,3.7745454545454544e-06
3.76e-06,3.785272727272727e-06
