SMA,EWM
6610.0700000000015,6610.063636363637
6610.06,6610.05090909091
6610.06,6610.058181818182
6610.05,6610.047272727274
6610.05,6610.038181818182
6610.05,6610.047272727273
6610.039999999999,6610.038181818182
6610.039999999999,6610.030909090909
6610.030000000001,6610.023636363637
6610.040000000001,6610.036363636364
6610.029999999999,6610.029090909092
6610.030000000001,6610.023636363636
6610.030000000001,6610.036363636364
6610.029999999999,6610.0309090909095
6610.040000000001,6610.043636363637
6610.039999999999,6610.054545454545
6610.05,6610.065454545455
6610.06,6610.074545454546
6610.07,6610.081818181819
6610.06,6610.069090909092
6610.0700000000015,6610.076363636364
6610.0700000000015,6610.063636363638
6610.06,6610.05090909091
6609.890000000001,6609.730909090909
6609.57,6609.187272727272
6609.240000000001,6608.683636363636
6608.92,6608.258181818182
6608.589999999999,6607.872727272727
6608.08,6607.219999999999
6607.4800000000005,6606.478181818182
6606.85,6605.809090909091
6606.2300000000005,6605.254545454545
6605.6,6604.794545454546
6605.15,6604.467272727273
6604.840000000001,6604.221818181818
6604.540000000001,6604.032727272727
6604.2300000000005,6603.898181818182
6603.93,6603.82
6603.81,6603.796363636364
6603.790000000001,6603.794545454546
6603.790000000001,6603.796363636364
6603.790000000001,6603.7981818181825
6603.8,6603.8
6604.06,6604.272727272727
6604.32,6604.698181818181
6604.589999999999,6605.0945454545445
6604.85,6605.423636363636
6605.110000000001,6605.705454545454
6605.589999999999,6606.339999999999
6605.0199999999995,6604.978181818182
6604.4800000000005,6603.774545454546
6603.94,6602.66909090909
6603.445687624,6601.74488658909
6602.705687624,6600.936579748363
6601.974704304,6600.279212325818
6601.263922513,6599.809662832363
6600.573922513,6599.488949648182
6599.893922513,6599.311872827637
6599.013922513,6599.294796007091
6599.183922513,6599.437719186546
6599.3439225130005,6599.586096911456
6599.503922512999,6599.705383727273
6599.618234889,6599.795579634
6599.748234889,6599.919536926908
6599.919218209,6600.11076694709
6600.08,6600.307272727273
6600.240000000001,6600.492727272727
6600.389999999999,6600.649090909091
6600.539999999999,6600.8145454545465
6600.7300000000005,6601.0254545454545
6600.9,6601.201818181818
6601.08,6601.365454545454
6601.2699999999995,6601.514545454545
6601.459527808,6601.682777832727
6601.629527808,6601.871954594909
6601.809527808,6602.0847677207275
6601.979527808001,6602.264853573818
6602.159527808,6602.432212154182
6602.329527808001,6602.58502528
6602.459527808,6602.706929314909
6602.639527808,6602.896106077091
6602.8295278079995,6603.088919202909
6603.029527807999,6603.283550510546
6603.210000000001,6603.46
6603.389999999999,6603.658181818182
6603.55,6603.841818181818
6603.770000000001,6604.105454545454
6603.9800000000005,6604.32909090909
6604.1799999999985,6604.514545454545
6604.4,6604.7
6604.68,6605.045454545455
6604.9800000000005,6605.412727272727
6605.289999999999,6605.78
6605.6,6606.109090909091
6606.040000000001,6606.672727272728
6606.5199999999995,6607.2472727272725
6606.95,6607.752727272727
6607.45,6608.307272727273
6607.512230258,6607.974964105455
6607.5622302579995,6607.645467694909
6607.5622302579995,6607.415971284363
6607.612230258,6607.350111237454
6607.702230257999,6607.402433008727
6607.802230257999,6607.47475478
6607.742230258,6607.528894733092
6607.642230258,6607.612125595273
6607.532230258,6607.713538275636
6607.362230258,6607.853132774182
6607.68,6608.114545454545
6608.0,6608.336363636364
6608.270000000001,6608.518181818182
6608.4800000000005,6608.705454545454
6608.69,6608.981818181818
