hour_minute,high,low,average,open,close
21:49,9.0397,9.0152,9.02654945257143,9.0199,9.0152
21:50,9.0298,8.9908,9.009231819615385,8.9961,9.021
21:51,9.014,8.9961,9.005758333333333,9.0089,9.0008
21:52,9.0208,8.9826,8.9963480496,9.0062,9.0089
21:53,9.0099,8.98059724,8.996501350555556,8.9988,9.0061
21:54,9.002,8.993,8.9962,8.9962,9.002
21:55,9.00973119,8.9974,9.004028745999998,9.0,9.0039
21:56,9.0008,8.9969,8.998781481481481,9.0008,8.9969
21:57,9.007,8.999,9.002080000000001,8.9999,9.0011
21:58,9.0025,8.999,9.000526666666667,9.001,8.9993
21:59,9.0006,8.999,8.999895652173912,8.999,9.0005
22:00,8.9991,8.952,8.968238257798165,8.9741,8.999
22:01,8.9829,8.9655,8.975350713333334,8.9829,8.9787
22:02,8.9737,8.9535,8.962809826,8.9737,8.9712
22:03,8.9989,8.9741,8.98811492411765,8.981,8.9741
22:04,8.98,8.9756,8.9778,8.9756,8.98
22:05,8.994,8.99,8.99178,8.991,8.99
22:06,9.0067,8.9911,8.99855,8.9911,8.9936
22:07,8.9915,8.984,8.987142307692308,8.988,8.9914
22:08,8.9906,8.9881,8.989881818181816,8.99,8.9906
22:09,9.01,8.9938,9.001042038653848,9.009,8.9938
22:10,9.0053,9.0011,9.00249411764706,9.0012,9.0053
22:11,9.002,9.001,9.001632142857144,9.0011,9.002
22:12,9.006,9.0012,9.0023,9.0021,9.0012
22:13,9.006,8.972000000000001,8.996092857142857,8.9807,9.0021
22:14,9.0059,8.9808,8.992676470588234,9.0033,8.9829
22:15,9.0034,9.0,9.002646666666665,9.0,9.0034
22:16,8.9999,8.9887,8.993474999999998,8.9999,8.9887
22:17,9.001,9.001,9.001000000000001,9.001,9.001
