ID,MTS,AMOUNT,PRICE,fisher_transform,fft
264866224,1530649020842,-2.88,9.001,0.11155927706319604,(9076.20285922+0j)
264866223,1530649020811,-2.54,9.001,0.11155927706319604,(7.415589023889945+3.781201426021409j)
264866222,1530649020707,-2.16,9.001,0.11155927706319604,(-0.07607667847061482-1.653749708615005j)
264866221,1530649020624,-3.64,9.001,0.11155927706319604,(0.07301530994227033+6.081267741356337j)
264866220,1530649020552,-2.03,9.001,0.11155927706319604,(-0.3038738976337276-0.8452436548330798j)
264866219,1530649020532,-3.11,9.001,0.11155927706319604,(-0.21223861108463762+3.307241946935809j)
264866168,1530648988148,29.354,8.9999,0.11157302567116757,(0.3142576652977955+1.7209439199635777j)
264866157,1530648984425,-2.0,8.9998,0.11157427571335614,(-0.2039709943173219+2.1677937552329856j)
264866129,1530648970943,8.0,8.9962,0.11161929597207529,(-1.1459332341877115-1.8880932149743148j)
264866128,1530648970940,10.0,8.995,0.11163431083322295,(-1.1604454407278022+0.3905868887142052j)
264866124,1530648968718,185.87823918,8.9999,0.11157302567116757,(1.772984070818659-0.5171438407033747j)
264866123,1530648968716,2.0,8.9953,0.11163055673766888,(-0.5748965472038035+0.5671034753162827j)
264866122,1530648968623,3.91,8.9891,0.11170819293964275,(-0.18957455019440023-0.4416644129244687j)
264866121,1530648968437,6.09,8.9891,0.11170819293964275,(-0.6956569789161342-0.9365697051871235j)
264866118,1530648967381,8.0,8.9904,0.11169190539780212,(-1.21096477548635+0.7278076558119384j)
264866117,1530648967379,10.0,8.9891,0.11170819293964275,(-0.7218094859677829-0.328757162665695j)
264866105,1530648966979,10.0,8.9892,0.11170693988246076,(-0.46821026351494194-0.703210930627238j)
264866099,1530648960247,-2.0,8.9887,0.11171320545067169,(-0.8705671903639451+1.3425649867600364j)
264866074,1530648948233,-5.24341856,9.0,0.11157177565710488,(-0.25320886538231924-0.011449570970050563j)
264866073,1530648948231,-30.0,9.0,0.11157177565710488,(0.053888783623877945-0.3799009524857891j)
264866072,1530648948229,-500.0,9.001,0.11155927706319604,(-0.18569560435051347+0.7464481434382649j)
264866071,1530648948227,-8.0,9.0022,0.11154428246166383,(0.28511953417251507+0.02705472400836513j)
264866070,1530648948175,-500.0,9.0033,0.11153054096546079,(0.037359675469464636-0.45812691111248094j)
264866069,1530648947807,-24.42,9.0033,0.11153054096546079,(0.4774237610052339+0.8361207173068956j)
264866024,1530648922044,-3.74,9.0033,0.11153054096546079,(0.7198900528798197-0.27754828054346864j)
264866023,1530648922013,-3.44,9.0033,0.11153054096546079,(-0.171360589982266-0.42712734914268935j)
264866022,1530648921922,-5.48,9.0033,0.11153054096546079,(0.20509719989105848+0.7038062005307293j)
264866021,1530648921920,-8.81,9.0033,0.11153054096546079,(-0.021173646457801964-0.2185487145920155j)
264866019,1530648921242,-3.57,9.0033,0.11153054096546079,(-0.2752737794492843-0.027973645912760255j)
264866018,1530648920853,-2.0,9.0033,0.11153054096546079,(0.4414966104268371+0.4658842926846442j)
264866009,1530648920432,-2.54,9.0033,0.11153054096546079,(0.1531113001283468+0.22682553535899594j)
264865997,1530648914696,145.0,9.0034,0.11152929190711369,(0.021846395411764197+0.45889611543361164j)
264865995,1530648913406,130.25,9.0034,0.11152929190711369,(-0.6698541162514811+0.07296605524027204j)
264865958,1530648899435,118.0,9.0033,0.11153054096546079,(0.06692253107274082+0.10645692733188795j)
264865957,1530648899433,8.0,9.0032,0.1115317900519014,(-0.09885030148261842-0.11627060783065626j)
264865933,1530648887022,382.0,9.0033,0.11153054096546079,(-0.16047715428586556-0.01230353230134482j)
264865932,1530648887021,100.0,9.0033,0.11153054096546079,(0.3947662722233108+0.016770485865359758j)
264865931,1530648887017,10.0,9.0031,0.11153303916643664,(-0.1648673157857795-0.18710898538418905j)
264865930,1530648887014,8.0,9.003,0.11153428830906727,(-0.4414753660472573-0.25356245096566815j)
264865926,1530648885669,-100.0,9.0002,0.11156927571335362,(0.22728155710479148-0.1542819127490985j)
264865904,1530648879240,-500.0,9.0031,0.11153303916643664,(-0.25126980050652425-0.039214546985934295j)
264865887,1530648868342,-118.03400094,9.0038,0.11152429595464201,(0.04476976397580175-0.21890304283395856j)
264865886,1530648868339,-123.96599906,9.0053,0.1115055651350319,(-0.05215279297889597-0.21985049996398742j)
264865885,1530648868336,-8.0,9.0059,0.11149807457606385,(-0.10965791540330092-0.17450831073501577j)
264865856,1530648861413,222.0,9.0,0.11157177565710488,(0.18429973752316373-0.3373343167702043j)
