SMA,EWM
8.99969,8.99880909090909
8.99958,8.998847272727273
8.99901,8.99806909090909
8.997819999999999,8.996267272727273
8.996630000000001,8.994681818181819
8.99557,8.993549090909092
8.994379999999998,8.992372727272727
8.993310000000001,8.991430909090909
8.9922,8.990592727272727
8.99258,8.99201090909091
8.99308,8.99336
8.993190000000002,8.9948
8.99388,8.996438181818181
8.9953,8.99815090909091
8.99672,8.999605454545454
8.998009999999999,9.000801818181817
8.999429999999998,9.001763636363636
9.00084,9.002467272727271
9.0023,9.002914545454544
9.00263,9.003096363636363
9.002959999999998,9.00321818181818
9.003189999999998,9.00328
9.003309999999999,9.00331818181818
9.003319999999999,9.003334545454544
9.003319999999999,9.003330909090907
9.003309999999999,9.00330909090909
9.003309999999999,9.003307272727271
9.003309999999999,9.003305454545453
9.00329,9.003267272727273
9.003260000000001,9.003214545454545
9.002949999999998,9.00265818181818
9.00293,9.002685454545455
9.00297,9.002843636363636
9.00316,9.003267272727273
9.00342,9.003765454545453
9.0031,9.003143636363637
9.002280000000003,9.001689090909093
9.001159999999999,8.999838181818182
8.999849999999999,8.99780909090909
8.99847,8.995872727272726
8.99735,8.99415090909091
8.995940000000001,8.992632727272728
8.99448,8.991407272727272
8.99277,8.990265454545455
8.991000000000003,8.989434545454545
8.98982,8.988925454545454
8.989130000000001,8.98863090909091
8.988740000000002,8.988461818181818
8.988560000000001,8.988363636363637
8.98846,8.988298181818182
8.988380000000001,8.98825090909091
8.98756,8.986872727272727
8.986720000000002,8.985643636363637
8.986030000000001,8.984658181818181
8.985340000000003,8.983798181818182
8.984650000000002,8.983063636363637
8.984420000000002,8.98329090909091
8.98389,8.983014545454546
8.98314,8.982434545454545
8.98152,8.980409090909092
8.98008,8.979005454545455
8.979410000000001,8.977918181818183
8.97898,8.97738909090909
8.979009999999999,8.977865454545455
8.97937,8.978936363636363
8.979740000000001,8.979960000000002
8.97972,8.981043636363637
8.980389999999998,8.98284
8.98132,8.984587272727271
8.98312,8.986165454545455
8.98475,8.987434545454544
8.98654,8.988752727272727
8.988290000000001,8.99010909090909
8.98953,8.991147272727273
8.99054,8.992141818181818
8.99194,8.99368
8.993269999999999,8.994963636363636
8.99451,8.996550909090908
8.995709999999999,8.997912727272729
8.99691,8.999056363636363
8.998099999999999,8.99998181818182
8.9993,9.001054545454545
9.000300000000001,9.001909090909091
9.0014,9.002763636363635
9.0024,9.003418181818182
9.003,9.00389090909091
9.0036,9.004254545454547
9.0039,9.004509090909092
9.0042,9.004709090909092
9.004499999999998,9.004854545454547
9.0048,9.004945454545455
9.004970000000002,9.005109090909093
9.00511,9.005187272727273
9.00511,9.005167272727272
9.00521,9.005329090909092
9.00495,9.004818181818182
9.00466,9.004299999999999
9.00437,9.003834545454545
9.00408,9.003421818181819
9.00379,9.003061818181818
9.003499999999999,9.002754545454545
9.003139999999998,9.0025
9.00281,9.002310909090909
9.00252,9.00218181818182
9.00212,9.002087272727271
9.001999999999999,9.00192
9.002390000000002,9.002647272727273
9.002400000000002,9.002612727272728
9.00239,9.002540000000002
9.0023,9.002323636363638
9.002199999999998,9.002105454545456
9.002099999999999,9.001905454545454
9.001999999999999,9.001723636363636
9.00189,9.001541818181817
9.00179,9.00138
9.001770000000002,9.001236363636364
9.00128,9.001114545454545
9.001169999999998,9.001081818181817
9.001069999999999,9.001050909090909
9.001140000000001,9.001201818181817
9.00123,9.001358181818182
9.001309999999998,9.00148
9.00139,9.001587272727273
9.00149,9.001698181818181
9.00157,9.001754545454546
