ID,MTS,AMOUNT,PRICE,fisher_transform,fft
264866446,1530649164807,-62.34819,16.557000000000002,0.06047101634104358,(16648.697+0j)
264866417,1530649143397,-7.6,16.557000000000002,0.06047101634104358,(-42.93828567719622-71.5786812555533j)
264866416,1530649143395,-1.2,16.559,0.06046369482218394,(17.059549423358693-58.77437883611943j)
264866415,1530649143388,-1.2,16.559,0.06046369482218394,(6.675184407185204-12.584788806149405j)
264866384,1530649127875,-60.4109848,16.574,0.060408839959428494,(0.9842879020890875-22.155199117490657j)
264866383,1530649127870,-37.5,16.575,0.06040518651160585,(-2.330404858815463+3.111169651488566j)
264866382,1530649127868,-39.6890152,16.576,0.06040153350620526,(5.7133255676703465-11.111179944832987j)
264866381,1530649127866,-1.2,16.584,0.06037232538054318,(2.457470114642665-2.6166832539735627j)
264866380,1530649127860,-1.2,16.592,0.06034314552360019,(2.23937076593564-12.24743094344981j)
264866373,1530649119300,1.0,16.594,0.060335854971537324,(-1.856420432680014-1.6007195357166706j)
264866356,1530649104310,-50.0,16.6,0.06031399389430736,(3.568564891636794-6.665948349589551j)
264866355,1530649104306,-1.2,16.609,0.060281232001182364,(4.4002781947257-5.639334849828467j)
264866265,1530649046559,-52.37638717,16.618,0.06024850572356029,(0.6236293586712952-5.186599133351067j)
264866246,1530649031971,-58.843999999999994,16.618,0.06024850572356029,(1.2823080939316482-2.843103294922687j)
264866245,1530649031325,-9.04918255,16.618,0.06024850572356029,(-0.9501788715057072-3.849371698223294j)
264866244,1530649031320,-1.44177108,16.619,0.06024487166645334,(4.295945755122291-1.520250189045822j)
264866243,1530649031316,-48.34504637,16.619,0.06024487166645334,(4.140167520060345-3.5840714504569235j)
264866240,1530649031213,-3.12412403,16.619,0.06024487166645334,(1.7897358550247053-1.2666989145516756j)
264866238,1530649030327,-58.841,16.619,0.06024487166645334,(2.40181788365811-1.7671532796085545j)
264866237,1530649029771,-14.10662587,16.619,0.06024487166645334,(2.7389320196769718-1.2866725245621329j)
264866236,1530649029767,-10.35367015,16.62,0.060241238048246756,(1.642047609093951-1.1653791001295517j)
264866235,1530649029764,-34.38270398,16.62,0.060241238048246756,(2.3718544825016954-2.403758645903737j)
264866233,1530649029171,-58.836000000000006,16.62,0.060241238048246756,(2.637480972311898+0.506372855178631j)
264866227,1530649023113,-39.49254537,16.62,0.060241238048246756,(2.4776846809547544-0.17871758198715348j)
264866226,1530649023108,-19.32045463,16.62,0.060241238048246756,(0.5872720908787392+0.8489840463325605j)
264866171,1530648988409,-93.9736,16.62,0.060241238048246756,(0.5098032484412013-0.8094484266199801j)
264866102,1530648962373,-3.09248407,16.62,0.060241238048246756,(1.896340606963129+0.5707200222449289j)
264866057,1530648939029,-4.542,16.62,0.060241238048246756,(2.7264688820620813-0.5334126794123161j)
264866045,1530648931712,6.7077015,16.622,0.06023397212821625,(1.0909182554793189+1.888828144505402j)
264866044,1530648931609,3.35383392,16.622,0.06023397212821625,(0.04501077393093188-0.21466408964024958j)
264866043,1530648930838,-7.63548411,16.62,0.060241238048246756,(1.169886281349564-0.33121967589420426j)
264866042,1530648930834,-92.36451589,16.621,0.06023760486886093,(1.0613983565419742+0.008169524472873557j)
264865893,1530648871785,-30.0,16.621,0.06023760486886093,(1.629986238870085+0.20062316473785036j)
264865866,1530648862223,-14.493960000000001,16.621,0.06023760486886093,(1.0613773829877051+0.3966338258930499j)
264865838,1530648858553,-141.00570244,16.622,0.06023397212821625,(0.19656461584425286+1.388748162090118j)
264865837,1530648858549,-83.77758953,16.623,0.060230339826233104,(0.8127972541193808+0.1783702919869327j)
264865823,1530648855377,-4.82154,16.623,0.060230339826233104,(1.1211304003468523+0.21422260359585998j)
264865817,1530648853697,-14.46463,16.623,0.060230339826233104,(1.5916356113833003+1.1660475746147114j)
264865803,1530648851862,-42.08916945,16.623,0.060230339826233104,(0.16866989473309513+1.3965689348872343j)
264865802,1530648851859,-137.91083055,16.623,0.060230339826233104,(1.4551374821641814+0.3094484010118987j)
264865800,1530648851716,-2.5122,16.623,0.060230339826233104,(0.9280431223448057+0.7736374810185382j)
264865799,1530648851511,-4.82953,16.623,0.060230339826233104,(-0.08781975195133296+1.426614058930767j)
264865795,1530648851006,-4.04759497,16.623,0.060230339826233104,(0.5625521234913571+0.6067582088043751j)
264865794,1530648851003,-147.22654225,16.624000000000002,0.06022670796283207,(-0.10567225125323775+0.9181685016674921j)
264865793,1530648850999,-21.32622114,16.625,0.06022307653793353,(0.8732767463554911+1.3809028784676944j)
264865792,1530648850997,-1.2,16.625,0.06022307653793353,(0.19705199895825726+0.5590459769457236j)
264865791,1530648850990,-6.19964164,16.625,0.06022307653793353,(0.37485112772762275+0.8576213658185251j)
264865774,1530648849294,-14.488579999999999,16.625,0.06022307653793353,(-0.23770889532587408+0.9845622668847975j)
264865753,1530648847487,-22.936,16.625,0.06022307653793353,(0.5887690137783543+1.231349673767771j)
264865747,1530648846689,-3.97931,16.625,0.06022307653793353,(0.4208772149301876+0.7796823394241253j)
264865726,1530648842809,-58.851000000000006,16.625,0.06022307653793353,(0.2982413103424479+0.6740070665395316j)
264865725,1530648841873,-36.62478407,16.625,0.06022307653793353,(0.6174246720152098+0.8366591573494907j)
264865724,1530648841869,-22.22621593,16.625999999999998,0.060219445551458056,(0.21727341429661773+1.4614855454759799j)
264865700,1530648837779,-14.4754,16.625999999999998,0.060219445551458056,(-0.211947884576026+0.801507542789829j)
264865680,1530648836511,-4.8246199999999995,16.625999999999998,0.060219445551458056,(-0.3513788552985667+1.1746056602637043j)
