ID,MTS,AMOUNT,PRICE,fisher_transform,fft
264866327,1530649083487,0.48059839,6610.1,0.0001512836428539544,(6670246.130981639+0j)
264866326,1530649083485,0.33231261,6610.1,0.0001512836428539544,(2548.476463534883-2720.6223559315167j)
264866325,1530649083483,1.1870889999999998,6610.1,0.0001512836428539544,(-3532.1327068111436+1989.7747189106196j)
264866304,1530649072016,-0.3,6610.0,0.00015128593156269116,(2083.2469082306247+662.7762254621256j)
264866256,1530649042761,0.0442,6610.1,0.0001512836428539544,(736.1941310672667+2735.138624940959j)
264866241,1530649031216,0.019511,6610.1,0.0001512836428539544,(540.8277138780342+657.4135839634108j)
264866225,1530649020886,-0.3,6610.0,0.00015128593156269116,(67.36462636093242+922.6538546663751j)
264866213,1530649014644,0.0442,6610.1,0.0001512836428539544,(16.39867492241182-112.5157770228127j)
264866190,1530649000844,-0.00757492,6610.0,0.00015128593156269116,(126.31377653383201+286.57726316141265j)
264866177,1530648993798,1.155,6610.1,0.0001512836428539544,(-267.79672287108696-104.95008920263545j)
264866156,1530648984364,-0.1,6610.0,0.00015128593156269116,(302.51786909141566+306.19630731496795j)
264866155,1530648984361,0.05,6610.1,0.0001512836428539544,(-93.98463590752729-5.022064072863442j)
264866097,1530648958606,-1.95108674,6610.0,0.00015128593156269116,(-71.46082766886673+120.37546852821811j)
264866096,1530648958602,-0.24891326,6610.0,0.00015128593156269116,(-195.5957983194202+7.05088199990899j)
264866095,1530648958043,0.0729054,6610.1,0.0001512836428539544,(-75.78628209252504+269.6587703974774j)
264866087,1530648955936,-0.05,6610.0,0.00015128593156269116,(-440.4664121204357+107.33673134832974j)
264866085,1530648952916,-0.0811,6610.0,0.00015128593156269116,(-307.761454918192+81.24949867763266j)
264866076,1530648948533,-0.01996,6610.0,0.00015128593156269116,(-19.853225864497198+242.01911452833744j)
264866075,1530648948530,0.002,6610.1,0.0001512836428539544,(-239.94427550899763+14.134946905715012j)
264866061,1530648941263,-0.0811,6610.0,0.00015128593156269116,(-112.17883214640796+106.7478983411887j)
264866025,1530648922586,-0.019049,6610.0,0.00015128593156269116,(-46.52236136181007+49.34154756782864j)
264866017,1530648920771,0.05,6610.1,0.0001512836428539544,(-303.3820962087754-82.91118169376936j)
264866007,1530648919122,-0.0811,6610.0,0.00015128593156269116,(-12.446553802879253-13.245714822835335j)
264865999,1530648915640,0.05954092,6610.1,0.0001512836428539544,(-138.07862706531904+47.72640036141085j)
264865998,1530648915639,0.07845908,6610.1,0.0001512836428539544,(-107.61955957314377+31.82407577259489j)
264865996,1530648913529,0.11446146,6610.1,0.0001512836428539544,(-75.48160350260379-64.78557624839887j)
