ID,MTS,AMOUNT,PRICE,fisher_transform,fft
264425501,1530549646935,-3029.95872,4.01e-06,4.010000000048481e-06,(0.00380418+0j)
264425497,1530549646397,-3030.07348,4.01e-06,4.010000000048481e-06,(7.047521544900035e-05+3.0493652924258724e-05j)
264425490,1530549644135,-3029.95872,4.01e-06,4.010000000048481e-06,(4.473728236890714e-05+3.673375283548359e-05j)
264425480,1530549642606,-3029.84396,4.01e-06,4.010000000048481e-06,(-1.6734214202655084e-05+6.09270484161583e-06j)
264425476,1530549641327,-3029.84396,4.01e-06,4.010000000048481e-06,(1.4076872716157835e-05-7.399494209749839e-06j)
264415443,1530548396986,-3013.18267,4.04e-06,4.040000000060738e-06,(3.228691091509346e-05+1.2539771166121448e-06j)
264415441,1530548396590,-3013.18267,4.04e-06,4.040000000060738e-06,(5.157353389725598e-06+2.4733923011422548e-05j)
264330223,1530540221998,2430.10059,4.12e-06,4.1200000000271046e-06,(-1.7618178505630758e-05-6.754908543061559e-06j)
264329614,1530540181407,-772.452,4.06e-06,4.060000000031095e-06,(8.755023930009511e-07-1.1510693250055084e-05j)
264328859,1530540133835,480.0,4.1e-06,4.100000000014277e-06,(-6.893131116171001e-06-3.855793623517789e-06j)
264294628,1530538669811,-3018.86792,4.04e-06,4.040000000060738e-06,(7.386441708712222e-06+3.1748480618314406e-06j)
264282118,1530538358466,-8935.51065,4.11e-06,4.11000000000967e-06,(-1.8334475433607418e-05-1.5360898776495508e-05j)
264269787,1530538156122,14920.556861500001,4.11e-06,4.11000000000967e-06,(9.64272697710013e-06+3.3431565470832537e-06j)
264212999,1530529099290,5000.0,3.93e-06,3.930000000023497e-06,(-9.437135696970802e-06-4.206117228080672e-06j)
264212967,1530529096101,5000.0,3.92e-06,3.919999999980791e-06,(6.228160920233998e-07-2.9643567680488135e-06j)
264203183,1530526524650,17242.59571987,3.96e-06,3.959999999950811e-06,(3.3486191411527292e-06+7.4719351476109565e-06j)
264184174,1530519773151,-7490.63,3.98e-06,3.980000000012568e-06,(-4.100322713299773e-06-9.040408971425515e-06j)
264159001,1530513197657,-12722.64,3.94e-06,3.940000000088248e-06,(5.6879808755571586e-06+3.901916474507716e-06j)
264158989,1530513190145,-7633.58,3.94e-06,3.940000000088248e-06,(3.380583788282962e-07+2.1044766849466517e-06j)
264158957,1530513161367,-12722.64,3.94e-06,3.940000000088248e-06,(-3.621158378287782e-07+9.95748874415092e-06j)
264158948,1530513155944,-12722.64,3.94e-06,3.940000000088248e-06,(-6.591759383234561e-06-3.083219920139811e-06j)
264158947,1530513155599,-12722.64,3.94e-06,3.940000000088248e-06,(1.5167002297262904e-06-2.718209663973033e-06j)
264158946,1530513155254,-7633.58,3.94e-06,3.940000000088248e-06,(-6.683393267235525e-06-2.4110478076554165e-06j)
264158942,1530513154644,-7633.58,3.94e-06,3.940000000088248e-06,(1.0492637610854703e-05-6.610664961221891e-07j)
