hour_minute,high,low,average,open,close
15:23,1.927e-05,1.925e-05,1.9260000000000002e-05,1.927e-05,1.925e-05
15:24,1.925e-05,1.925e-05,1.925e-05,1.925e-05,1.925e-05
15:25,1.923e-05,1.92e-05,1.9215e-05,1.92e-05,1.923e-05
15:26,1.921e-05,1.92e-05,1.9203999999999998e-05,1.92e-05,1.921e-05
15:27,1.918e-05,1.918e-05,1.918e-05,1.918e-05,1.918e-05
15:28,1.919e-05,1.919e-05,1.919e-05,1.919e-05,1.919e-05
15:29,1.917e-05,1.917e-05,1.917e-05,1.917e-05,1.917e-05
15:30,1.915e-05,1.913e-05,1.9140000000000003e-05,1.913e-05,1.915e-05
15:31,1.914e-05,1.913e-05,1.9137499999999998e-05,1.914e-05,1.914e-05
15:32,1.915e-05,1.914e-05,1.91425e-05,1.914e-05,1.914e-05
15:33,1.916e-05,1.914e-05,1.9147999999999997e-05,1.916e-05,1.914e-05
15:34,1.918e-05,1.918e-05,1.918e-05,1.918e-05,1.918e-05
15:35,1.919e-05,1.918e-05,1.91825e-05,1.918e-05,1.918e-05
15:36,1.916e-05,1.914e-05,1.9149999999999998e-05,1.914e-05,1.916e-05
15:37,1.914e-05,1.912e-05,1.913e-05,1.913e-05,1.913e-05
15:38,1.913e-05,1.91e-05,1.9115000000000002e-05,1.911e-05,1.912e-05
15:39,1.912e-05,1.91e-05,1.9108e-05,1.912e-05,1.91e-05
15:40,1.916e-05,1.912e-05,1.9145e-05,1.916e-05,1.912e-05
15:41,1.919e-05,1.916e-05,1.9175e-05,1.918e-05,1.917e-05
15:42,1.92e-05,1.917e-05,1.91825e-05,1.917e-05,1.919e-05
15:44,1.919e-05,1.918e-05,1.9183333333333333e-05,1.918e-05,1.918e-05
15:45,1.92e-05,1.919e-05,1.9195e-05,1.92e-05,1.919e-05
15:46,1.921e-05,1.92e-05,1.9205e-05,1.921e-05,1.92e-05
15:48,1.955e-05,1.922e-05,1.9384999999999998e-05,1.922e-05,1.955e-05
15:51,1.955e-05,1.924e-05,1.929333333333333e-05,1.925e-05,1.924e-05
15:53,1.926e-05,1.925e-05,1.9256666666666665e-05,1.925e-05,1.926e-05
15:54,1.927e-05,1.926e-05,1.9263333333333332e-05,1.926e-05,1.927e-05
15:55,1.926e-05,1.926e-05,1.926e-05,1.926e-05,1.926e-05
15:56,1.926e-05,1.926e-05,1.926e-05,1.926e-05,1.926e-05
16:02,1.928e-05,1.927e-05,1.9276666666666664e-05,1.928e-05,1.927e-05
16:03,1.929e-05,1.928e-05,1.9283999999999997e-05,1.928e-05,1.929e-05
16:04,1.929e-05,1.928e-05,1.9286666666666666e-05,1.929e-05,1.928e-05
16:05,1.955e-05,1.932e-05,1.94325e-05,1.932e-05,1.954e-05
16:08,1.939e-05,1.939e-05,1.939e-05,1.939e-05,1.939e-05
16:09,1.942e-05,1.941e-05,1.9417500000000002e-05,1.942e-05,1.941e-05
16:10,1.944e-05,1.943e-05,1.9435e-05,1.944e-05,1.943e-05
16:11,1.944e-05,1.942e-05,1.9430000000000002e-05,1.944e-05,1.942e-05
16:12,1.943e-05,1.942e-05,1.9424999999999998e-05,1.942e-05,1.943e-05
16:13,1.975e-05,1.944e-05,1.9546666666666667e-05,1.944e-05,1.975e-05
16:14,1.943e-05,1.941e-05,1.942e-05,1.941e-05,1.942e-05
16:15,1.956e-05,1.941e-05,1.9485e-05,1.956e-05,1.941e-05
16:16,1.956e-05,1.956e-05,1.956e-05,1.956e-05,1.956e-05
16:17,1.956e-05,1.956e-05,1.956e-05,1.956e-05,1.956e-05
16:18,1.959e-05,1.957e-05,1.9580000000000002e-05,1.959e-05,1.957e-05
16:19,1.958e-05,1.956e-05,1.957e-05,1.957e-05,1.957e-05
16:20,1.956e-05,1.956e-05,1.956e-05,1.956e-05,1.956e-05
16:21,1.957e-05,1.957e-05,1.957e-05,1.957e-05,1.957e-05
16:22,1.957e-05,1.956e-05,1.9565e-05,1.957e-05,1.956e-05
16:23,1.958e-05,1.956e-05,1.9569999999999997e-05,1.956e-05,1.958e-05
16:24,1.957e-05,1.956e-05,1.9562499999999998e-05,1.956e-05,1.956e-05
16:25,1.957e-05,1.956e-05,1.9565e-05,1.957e-05,1.956e-05
16:26,1.956e-05,1.956e-05,1.956e-05,1.956e-05,1.956e-05
16:27,1.958e-05,1.957e-05,1.9575e-05,1.958e-05,1.957e-05
16:28,1.957e-05,1.956e-05,1.9565e-05,1.957e-05,1.956e-05
16:29,1.958e-05,1.957e-05,1.9575e-05,1.957e-05,1.958e-05
16:30,1.957e-05,1.956e-05,1.9562499999999998e-05,1.956e-05,1.956e-05
16:31,1.956e-05,1.956e-05,1.956e-05,1.956e-05,1.956e-05
16:32,1.956e-05,1.956e-05,1.956e-05,1.956e-05,1.956e-05
16:33,1.959e-05,1.957e-05,1.9580000000000002e-05,1.959e-05,1.957e-05
16:34,1.959e-05,1.956e-05,1.95775e-05,1.959e-05,1.957e-05
16:35,1.959e-05,1.957e-05,1.958e-05,1.958e-05,1.958e-05
16:36,1.961e-05,1.958e-05,1.9594999999999998e-05,1.961e-05,1.958e-05
16:37,1.9600000000000002e-05,1.958e-05,1.9587500000000002e-05,1.958e-05,1.959e-05
16:38,1.958e-05,1.956e-05,1.95675e-05,1.956e-05,1.957e-05
16:39,1.957e-05,1.956e-05,1.9563333333333333e-05,1.957e-05,1.956e-05
16:40,1.957e-05,1.957e-05,1.957e-05,1.957e-05,1.957e-05
16:41,1.958e-05,1.957e-05,1.957666666666667e-05,1.958e-05,1.958e-05
16:42,1.958e-05,1.958e-05,1.958e-05,1.958e-05,1.958e-05
16:43,1.9600000000000002e-05,1.955e-05,1.9584e-05,1.955e-05,1.959e-05
16:44,1.9600000000000002e-05,1.959e-05,1.9595e-05,1.959e-05,1.9600000000000002e-05
16:45,1.957e-05,1.955e-05,1.95625e-05,1.957e-05,1.957e-05
16:46,1.957e-05,1.956e-05,1.9565e-05,1.956e-05,1.957e-05
16:47,1.958e-05,1.957e-05,1.9575e-05,1.957e-05,1.958e-05
16:48,1.958e-05,1.956e-05,1.9569999999999997e-05,1.956e-05,1.958e-05
16:49,1.954e-05,1.952e-05,1.95325e-05,1.952e-05,1.954e-05
16:50,1.953e-05,1.952e-05,1.95275e-05,1.953e-05,1.953e-05
16:51,1.954e-05,1.952e-05,1.95275e-05,1.952e-05,1.953e-05
16:52,1.951e-05,1.949e-05,1.94975e-05,1.949e-05,1.95e-05
16:53,1.95e-05,1.947e-05,1.9485e-05,1.95e-05,1.948e-05
16:54,1.948e-05,1.946e-05,1.94725e-05,1.946e-05,1.948e-05
16:55,1.948e-05,1.947e-05,1.94725e-05,1.947e-05,1.947e-05
16:56,1.946e-05,1.944e-05,1.945e-05,1.945e-05,1.945e-05
16:57,1.944e-05,1.943e-05,1.9435e-05,1.944e-05,1.943e-05
16:58,1.943e-05,1.943e-05,1.943e-05,1.943e-05,1.943e-05
16:59,1.946e-05,1.945e-05,1.9455e-05,1.946e-05,1.945e-05
17:00,1.946e-05,1.943e-05,1.9445e-05,1.943e-05,1.944e-05
17:01,1.944e-05,1.942e-05,1.9426666666666668e-05,1.944e-05,1.942e-05
17:02,1.944e-05,1.944e-05,1.944e-05,1.944e-05,1.944e-05
17:03,1.946e-05,1.944e-05,1.94475e-05,1.944e-05,1.944e-05
17:04,1.944e-05,1.944e-05,1.944e-05,1.944e-05,1.944e-05
17:05,1.944e-05,1.943e-05,1.9435e-05,1.944e-05,1.943e-05
17:06,1.943e-05,1.943e-05,1.943e-05,1.943e-05,1.943e-05
17:07,1.942e-05,1.941e-05,1.9415e-05,1.942e-05,1.941e-05
17:08,1.942e-05,1.941e-05,1.9415e-05,1.942e-05,1.941e-05
17:09,1.943e-05,1.941e-05,1.94225e-05,1.942e-05,1.943e-05
17:10,1.941e-05,1.939e-05,1.9399999999999997e-05,1.939e-05,1.941e-05
17:11,1.939e-05,1.937e-05,1.938e-05,1.937e-05,1.939e-05
17:12,1.938e-05,1.937e-05,1.9377500000000002e-05,1.938e-05,1.938e-05
17:13,1.938e-05,1.936e-05,1.9368e-05,1.936e-05,1.938e-05
17:14,1.937e-05,1.937e-05,1.937e-05,1.937e-05,1.937e-05
17:15,1.938e-05,1.937e-05,1.9372499999999998e-05,1.937e-05,1.937e-05
17:17,1.938e-05,1.937e-05,1.9375e-05,1.937e-05,1.938e-05
17:18,1.939e-05,1.938e-05,1.9384999999999998e-05,1.939e-05,1.938e-05
17:19,1.9399999999999997e-05,1.9399999999999997e-05,1.9399999999999997e-05,1.9399999999999997e-05,1.9399999999999997e-05
17:20,1.941e-05,1.9399999999999997e-05,1.9404999999999998e-05,1.941e-05,1.9399999999999997e-05
17:21,1.942e-05,1.942e-05,1.942e-05,1.942e-05,1.942e-05
