hour_minute,high,low,average,open,close
21:30,85.9,85.73,85.77494736842108,85.884,85.743
21:31,85.88,85.87,85.875,85.87,85.88
21:32,86.37100000000001,85.89,85.9690451977401,86.331,85.89
21:33,86.336,86.036,86.2083076923077,86.036,86.336
21:34,86.087,86.035,86.05933333333333,86.035,86.087
21:36,86.126,86.089,86.109,86.11,86.09899999999999
21:37,86.098,86.098,86.098,86.098,86.098
21:38,86.088,86.088,86.088,86.088,86.088
21:39,86.24,86.154,86.19883333333333,86.24,86.154
21:40,86.946,86.291,86.70431395348835,86.85700000000001,86.291
21:41,86.999,86.85700000000001,86.94624242424241,86.93700000000001,86.85700000000001
21:42,87.249,86.82700000000001,87.04172727272729,87.249,86.82700000000001
21:43,87.38,87.116,87.25693877551019,87.20299999999999,87.249
21:44,87.20299999999999,87.17399999999999,87.195,87.184,87.20299999999999
21:45,88.035,87.175,87.62340506329114,88.01,87.181
21:46,88.43,87.728,88.157421875,87.805,88.01
21:47,88.06700000000001,87.149,87.60570652173912,87.28,87.766
21:48,87.32,87.273,87.291,87.32,87.28
21:49,87.314,87.10700000000001,87.2180769230769,87.287,87.305
21:50,87.07,87.05,87.064,87.07,87.05
21:51,87.23100000000001,87.07700000000001,87.13827272727272,87.155,87.07700000000001
21:52,87.329,87.279,87.31233333333334,87.329,87.279
21:53,87.351,87.351,87.351,87.351,87.351
21:54,87.36,87.31200000000001,87.3295,87.36,87.31200000000001
21:55,87.37,87.34700000000001,87.3585,87.34700000000001,87.37
21:56,87.35,87.31200000000001,87.32466666666669,87.31200000000001,87.31200000000001
21:57,87.31700000000001,87.31700000000001,87.31700000000001,87.31700000000001,87.31700000000001
21:58,87.322,87.31299999999999,87.31625,87.322,87.31299999999999
21:59,87.31200000000001,87.155,87.23954545454546,87.155,87.31200000000001
22:00,87.147,86.708,86.88480645161292,86.807,87.147
22:01,87.09299999999999,86.845,86.96472727272727,86.975,86.845
22:04,86.946,86.831,86.89076923076922,86.895,86.946
22:06,87.211,86.984,87.10208333333334,87.20299999999999,86.984
22:07,87.119,87.119,87.119,87.119,87.119
22:09,87.376,87.258,87.32083333333334,87.376,87.258
22:10,87.34899999999999,87.288,87.33429411764705,87.288,87.34899999999999
22:11,87.275,87.275,87.275,87.275,87.275
22:13,87.22399999999999,87.19200000000001,87.2055714285714,87.19200000000001,87.22399999999999
22:14,87.198,87.08,87.1062,87.198,87.155
22:15,87.20299999999999,87.167,87.17699999999999,87.20299999999999,87.167
22:16,87.148,87.126,87.13725,87.126,87.148
22:19,87.177,87.12799999999999,87.16784615384616,87.177,87.177
