id,exchange,symbol,date,price,amount,sell,fisher_transform,fft
183601815,bf,btceur,1517529608000,7349.6,0.004568,False,0.00013606182733353597,(109136052.7464021+0j)
183601825,bf,btceur,1517529609000,7354.68045,0.01,True,0.00013596783884235885,(1576011.2572860909+1115943.4841867622j)
183601823,bf,btceur,1517529609000,7354.68045,0.004568,True,0.00013596783884235885,(-560395.3906116047-831023.5287130242j)
183601833,bf,btceur,1517529610000,7354.6,0.10239467,False,0.0001359693261581277,(-45870.96243091853-70302.00787673776j)
183601904,bf,btceur,1517529626000,7343.4075,0.08657999999999999,False,0.00013617656465081645,(44044.57494423625-679763.6959299189j)
183601906,bf,btceur,1517529626000,7343.80725,0.20492,False,0.00013616915206761117,(296096.5103108441+30146.643377660745j)
183602055,bf,btceur,1517529638000,7356.0,0.3,False,0.00013594344836330983,(144779.34630882725+111909.39831601501j)
183602057,bf,btceur,1517529638000,7357.9,0.08800745,False,0.00013590834424996403,(-266946.68203439825+163481.6568124654j)
183602052,bf,btceur,1517529638000,7355.8,0.1,False,0.00013594714458806006,(341335.9211820756+52733.17215264243j)
183602064,bf,btceur,1517529639000,7343.16765,0.08800745,False,0.00013618101258816017,(115814.90535682+46392.47229143298j)
183602333,bf,btceur,1517529675000,7352.28195,0.002,True,0.00013601219498472948,(87168.05776669036-227258.01981265773j)
183602610,bf,btceur,1517529715000,7351.32020012,0.3,True,0.00013602998902859497,(-62646.13899360345-153435.47005519085j)
183602612,bf,btceur,1517529715000,7351.32020012,0.3,True,0.00013602998902859497,(161257.95429683945+62116.742989856524j)
183602618,bf,btceur,1517529715000,7348.32170106,0.3,True,0.00013608549636966115,(198930.37280307914-58959.96753667744j)
183602629,bf,btceur,1517529715000,7339.32620388,0.3,True,0.0001362522905249375,(68477.07682012646+24906.57252750108j)
183602624,bf,btceur,1517529715000,7344.32370231,0.3,True,0.0001361595766625748,(-126327.2816607256-51179.808569790985j)
183602627,bf,btceur,1517529715000,7339.82595372,0.1,True,0.00013624301345736982,(-74727.98944930773+3284.9866903218503j)
183602676,bf,btceur,1517529720000,7338.854490000001,0.0048853,True,0.0001362610483082554,(36082.00282005873+97166.9656545877j)
183602733,bf,btceur,1517529727000,7338.9344,0.07,False,0.00013625956462956485,(12902.369980984331+175726.39945687997j)
183602739,bf,btceur,1517529727000,7340.37278,0.20257907,False,0.00013623286393723416,(100051.56991062312+32389.87004790398j)
183602735,bf,btceur,1517529727000,7339.653590000001,0.4,False,0.0001362462129752589,(-76262.95851807222-82598.72317310504j)
183602731,bf,btceur,1517529727000,7338.9344,0.02128686,False,0.00013625956462956485,(-45184.556205087596-40940.5851991608j)
183602737,bf,btceur,1517529727000,7339.653590000001,0.6,False,0.0001362462129752589,(-70786.57576263885-50348.360461462464j)
183602772,bf,btceur,1517529731000,7361.9,0.59991199,False,0.00013583450008158884,(83053.62974528754-25897.374392466067j)
183602835,bf,btceur,1517529739000,7339.9,0.17195274,True,0.00013624163901245552,(-30401.068686822884+6493.65245541327j)
183602844,bf,btceur,1517529741000,7339.9,0.42,True,0.00013624163901245552,(99607.79365296378+41758.886117866656j)
183602895,bf,btceur,1517529756000,7339.89332,0.24144869,False,0.00013624176300523172,(-70500.0377619226-14302.128830269612j)
183603483,bf,btceur,1517529871000,7334.7,1.0,True,0.00013633822872051432,(-25551.890973561483-82892.64217443542j)
183604043,bf,btceur,1517529902000,7311.765,0.59195274,True,0.0001367658843295453,(51527.77811245013+46154.526619461j)
183604261,bf,btceur,1517529915000,7300.0,0.01,True,0.00013698630222673162,(-29693.989701312184+21598.459801860627j)
183604272,bf,btceur,1517529916000,7297.7,0.1,True,0.000137029475897795,(43847.020037080096-109460.25836158489j)
183604431,bf,btceur,1517529924000,7296.5821,0.01519059,False,0.00013705047000856586,(-38346.79350851532-8689.465973688348j)
183604435,bf,btceur,1517529924000,7292.1,0.5,True,0.0001371347082827243,(16017.155336428219-32344.75829678996j)
183606831,bf,btceur,1517530030000,7271.81,0.01283274,True,0.00013751734524197214,(-9563.350068078607-4715.689625987398j)
183607192,bf,btceur,1517530056000,7271.81,0.6,True,0.00013751734524197214,(60780.250424678634-29917.524352125707j)
183607716,bf,btceur,1517530085000,7251.9,0.01,True,0.00013789489738386446,(25232.382960883522+52840.95777810244j)
183607743,bf,btceur,1517530085000,7251.9,0.0107854,True,0.00013789489738386446,(21218.206489924953-14684.70253542061j)
183607860,bf,btceur,1517530090000,7251.5,0.13526315,True,0.00013790250380455907,(-10319.783899660113-1632.264895565728j)
183607846,bf,btceur,1517530090000,7251.4,0.28830171,True,0.00013790440554087906,(21319.773413896524-21796.44780171203j)
183607841,bf,btceur,1517530090000,7251.4,0.07630981,True,0.00013790440554087906,(-68294.1300639626+4730.108303076336j)
183607843,bf,btceur,1517530090000,7251.4,0.07933993,True,0.00013790440554087906,(30677.710141252865-62828.52219504361j)
183608191,bf,btceur,1517530121000,7249.0,0.4,False,0.00013795006295256037,(10822.72338409253-15254.939881314738j)
183608405,bf,btceur,1517530128000,7268.5,0.1,False,0.00013757996922468524,(-30452.78308405927+20451.176238978725j)
183608407,bf,btceur,1517530129000,7269.0,0.3,False,0.00013757050575166722,(-5662.498664729591-29216.748005013374j)
183608734,bf,btceur,1517530141000,7279.8,0.1,False,0.00013736641202913915,(33848.14558160826+27989.556675966764j)
183608736,bf,btceur,1517530141000,7280.0,0.29626701,False,0.00013736263822661373,(-29928.989280335278+48257.60952322376j)
183608846,bf,btceur,1517530144000,7290.0,0.6,False,0.00013717421210863835,(47766.17171973084+14904.78101339817j)
