SMA,EWM
7351.364330000001,7351.09745
7351.632525000001,7351.26429
7351.296500011999,7351.207503658182
7350.960475023999,7351.211812768727
7350.33264513,7350.732035684363
7349.924515518001,7348.730864548001
7349.976160748998,7347.712534873818
7348.358756121001,7345.867042686727
7346.454205120999,7344.138994301092
7344.767645121001,7342.771757006363
7344.488158121001,7341.972690620729
7343.225322121,7341.093678235091
7341.986742108999,7340.313510576728
7340.820081097001,7339.889301102364
7342.177910991,7343.722013630182
7342.235290602999,7343.307847995455
7341.792920372,7342.883249704
7341.7996570000005,7342.537867818182
7341.384208,7341.24702109091
7338.667268,7335.861710545454
7334.629989999999,7328.831298181818
7330.434630999999,7322.116754545455
7326.199401,7315.961748909091
7321.444042,7309.761857818181
7312.435042,7300.737486545456
7305.626042000001,7293.351115272728
7296.826041999999,7283.582743999999
7288.02671,7275.414372727273
7279.70671,7268.773152727272
7273.670209999999,7263.626478181818
7268.810210000001,7259.577349090909
7264.18021,7256.411856363636
7259.4220000000005,7253.651818181817
7257.062,7255.302363636364
7256.781,7257.4729090909095
7257.58,7261.658181818181
7260.389999999999,7265.734545454546
7264.2,7271.118181818182
7267.8292,7275.407636363636
7272.189199999999,7280.347781818181
7276.8492,7285.040654545454
7276.8292,7280.377163636364
7276.95263,7275.541727272727
7273.90263,7268.459430909091
7270.80263,7261.93168
7267.0226299999995,7256.694838181817
7262.82263,7251.417996363636
7257.5226299999995,7246.7229727272725
7252.443429999999,7242.991585454546
7247.06343,7240.9473254545455
7241.38343,7239.881247272728
7241.1634300000005,7241.266078181818
7241.44,7243.418181818181
7242.539999999999,7244.792727272727
7243.639999999999,7245.967272727273
7244.339999999999,7246.941818181818
7245.839999999999,7248.516363636364
7247.44,7249.818181818182
7249.039999999999,7250.82909090909
7249.82,7250.821818181818
7250.6,7250.672727272728
7250.6,7250.381818181818
7250.2,7250.090909090909
7250.1,7249.690909090909
7249.640087,7248.654703636364
7249.052318,7247.469653272728
7247.992629999999,7246.260708181819
7246.9169600000005,7245.215375454546
7245.809326,7244.307502727272
7245.133656,7243.659134363637
7244.529905,7243.26437690909
7243.846244,7242.834101454545
7243.170574000001,7242.542657090909
7242.682805000001,7242.533881818182
7242.387138,7242.308680909091
7242.299237000001,7242.282528545455
7242.538967,7242.73728909091
7242.538967,7242.683531454545
7242.538967,7242.571657454544
7242.858607,7243.099063454545
7242.562358000001,7242.579316727273
7241.531518999999,7240.632524363637
7238.507188999999,7235.263157272727
7235.774958,7231.134577454545
7232.820538,7226.793675999999
7229.783958,7222.98585090909
7225.9962239999995,7218.829327636362
7222.967634999999,7216.276816
7219.795268999999,7213.955427818181
7216.271299,7212.2108334545455
7214.671299,7213.616051818181
7211.885798999999,7211.675815636364
7212.672649,7213.127215818181
7213.892648999999,7215.914006909091
7215.452649000001,7218.388070727273
7217.4648990000005,7221.39668
7220.372591000001,7224.766698363637
7223.736850000001,7229.3535
7227.276802,7233.328530909092
7229.456802000001,7234.187294181818
7231.041402000001,7236.076239272727
7233.841402,7236.250529818181
7234.844552,7235.533911272728
7234.944552000001,7234.471265454545
7235.0945520000005,7233.390437818182
7234.794552000001,7232.282337454546
7234.0945520000005,7231.228782545454
7232.034552,7229.575227636364
7229.9746,7228.296218181818
7229.2746,7227.391745454545
7227.889999999999,7226.796363636364
7227.289999999999,7226.452727272727
7226.69,7225.836363636364
